K H I H	1042 0 1008
E W Q K	896 0 859 1082
T O T	907 0 876
A K	1047 0 1015
O R F	1243 0 1210
H A Y	926 0 876 1033
Q S D	362 961 0 331 992
I F	910 0 879
M L Q T	907 0 876
E F	422 668 914 0 391 945
V P	1057 0 1025
G T	907 0 876
H T W	934 0 901
M A O U	345 0 314
S P D	362 961 0 331 992
K V U G	1046 0 1017
D I K F	917 0 877 1081
Q L Y	958 0 881 1035
F M U	345 0 314
O T O	962 0 931
T P Q M	918 0 887
M L G	957 0 926
D S A V	362 963 0 331 994
P L C	818 922 1025 0 784 1059
V L	957 0 926
K A I T	1046 0 1015
V I R	1243 0 1210
N S A G	957 0 926
N N N	877 0 846
P T	907 0 876
U F G	957 0 926
C F G N	848 0 787 909
S H M	916 0 883
F U D	362 961 0 331 992
G E T Q	422 668 914 0 391 945
L R S	1243 0 1210
V C P	816 938 1059 0 784 1092
G S	912 0 881
Y W G L	982 0 927 1038
H W L	955 0 922
T Q S	912 0 881
S K Q Q	1046 0 1015
L Y E	422 680 967 0 391 990
N I	965 0 934
F E M	422 672 922 0 391 953
R P M	1243 0 1210
N R N	1243 0 1210
D M	362 922 0 331 953
V P A U	345 0 314
M R V F	1243 0 1210
U Y Q K	1015 0 971 1087
G T Q E	422 695 968 0 391 999
N P	1057 0 1025
N K R I	1240 0 1207
N P T E	422 695 968 0 391 999
Q H F	908 0 875
L H G Y	926 0 876 1033
L S F	910 0 879
D I A K	896 0 859 1082
V C W W	0 787 968
P N	877 0 846
O G L	957 0 926
C F G	835 888 941 0 786 990
H A K	1045 0 1011
O A	966 0 935
O D	362 961 0 331 992
T M	918 0 887
T S	912 0 881
L L Q	910 0 879
K M V	1046 0 1017
M U	345 0 314
G W P	1057 0 1025
H L U K	1045 0 1011
L R C N	874 1079 1248 0 849 1280
D K G R	1046 1199 1228 0 1012 1278
Q Q V W	936 0 905
V A K	1047 0 1015
S L	957 0 926
D M L I	362 969 0 331 1000
D S I	362 969 0 331 1000
Q Q	910 0 879
F D V	362 963 0 331 994
M S I D	362 961 0 331 992
A P A H	912 0 879
A P F P	1057 0 1025
F S	912 0 881
K S V	1046 0 1017
N P P	1057 0 1025
F O G	957 0 926
V T M C	818 922 1025 0 784 1059
H V M	916 0 883
E A M	422 672 922 0 391 953
D G S	362 639 916 0 331 947
K C C	828 925 1023 0 806 1046
C Y P O	961 0 788 988
S E	422 695 968 0 391 999
A C	818 922 1025 0 784 1059
A L	957 0 926
K G O	1046 0 1017
L P R H	1241 0 1207
G C A	830 892 954 0 786 999
T M C E	422 605 822 0 391 854
G N N T	907 0 876
F D R M	916 1100 1248 0 883 1280
K E W U	418 1054 0 391 1085
H W F	908 0 875
C R	897 1091 1248 0 869 1280
O C K	893 0 862 1082
O A O	962 0 931
A P A	966 0 935
D L G	362 961 0 331 992
W C L	835 888 941 0 786 990
E I N	422 652 881 0 391 912
S S D	362 961 0 331 992
E S	422 669 916 0 391 947
O Y E	422 680 967 0 391 990
C T	863 0 788 938
K C P C	828 925 1023 0 806 1046
Q P O C	818 922 1025 0 784 1059
N A Y W	972 0 908 1035
E P	422 1061 0 391 1092
M K S	1046 0 1015
R C O H	908 1108 1248 0 877 1280
T N V L	957 0 926
P W V I	965 0 934
W W K U	1048 0 1015
N G	957 0 926
R C P I	962 1125 1247 0 930 1280
G M V	959 0 928
C E O Y	422 596 825 0 391 855
D Y	362 622 916 0 331 945
U E U	386 0 318 453
U W A	966 0 935
L O W	936 0 905
I U	345 0 314
Q U	345 0 314
E I D A	410 0 333 458
A T	907 0 876
Q T W	936 0 905
F F	910 0 879
W N	877 0 846
T P D	362 961 0 331 992
D R T W	934 1109 1248 0 901 1280
R H W	1241 0 1207
U F A V	959 0 928
A T W	936 0 905
K F L Y	1014 0 972 1087
O O K G	1046 0 1017
P C	818 922 1025 0 784 1059
F U W H	912 0 879
V K H	1044 0 1011
P R I G	1243 0 1210
Y K	1015 0 971 1087
I L	957 0 926
H O L	955 0 922
K D N	879 1005 1030 0 843 1083
L V Y M	963 0 891 1035
V E	422 695 968 0 391 999
L A	966 0 935
L C F W	0 787 968
O I A Q	910 0 879
D F	362 638 914 0 331 945
N P G L	957 0 926
C Q A S	865 0 788 943
N G G	957 0 926
Y D P	362 1009 0 331 1034
K M	1046 0 1015
S R T D	955 1120 1248 0 922 1280
W W G	957 0 926
K C	1030 0 988 1093
L U	345 0 314
E M P	422 1061 0 391 1092
L L E	422 695 968 0 391 999
K A R W	1240 0 1207
G E	422 695 968 0 391 999
W K	1047 0 1015
A F P	1057 0 1025
H N E L	594 795 961 0 562 992
T M I K	1047 0 1015
R L	1243 0 1210
P P R C	1024 1159 1243 0 990 1279
I Q R	1243 0 1210
E I L D	410 0 333 458
F M F	910 0 879
Y Y U Q	989 0 886 1017
V W	936 0 905
C F R E	830 891 953 0 783 1000
W V I	965 0 934
M T D U	356 0 308 403
H Y S	930 0 880 1033
L M M E	422 695 968 0 391 999
N T Y	958 0 881 1035
A D A	362 970 0 331 1001
Y Q	959 0 883 1035
H E	594 798 968 0 562 999
K O	1046 0 1017
S P W	936 0 905
P W I T	907 0 876
P M	918 0 887
U U T	907 0 876
L P	1057 0 1025
D P K	896 0 859 1082
T W W Q	910 0 879
A O I	965 0 934
O K	1047 0 1015
Q Y H	933 0 882 1033
M U F H	912 0 879
I K	1047 0 1015
L K G	1046 0 1017
S W	936 0 905
I A F G	957 0 926
S N C	818 922 1025 0 784 1059
H L L I	963 0 930
M Q I V	959 0 928
M H F A	964 0 931
E I F O	422 694 966 0 391 997
T W K	1047 0 1015
U K C O	979 0 930 1079
D I	362 969 0 331 1000
Y K W A	1014 0 981 1086
W H S	910 0 877
O F V C	818 922 1025 0 784 1059
D E	410 0 333 458
L I S D	362 961 0 331 992
K F V A	1046 0 1018
Q R I E	962 1124 1247 0 930 1280
L S F V	959 0 928
W D	362 961 0 331 992
Q G M A	966 0 935
I L R O	1243 0 1210
V Q W	936 0 905
G G Q	910 0 879
R Q O W	1243 0 1210
R S	1243 0 1210
A R P Q	1243 0 1210
U U P	1057 0 1025
T R	1243 0 1210
D W	362 940 0 331 971
L H S	910 0 877
C M Y	899 0 790 943
H O O	960 0 927
D P	362 1061 0 331 1092
N O	962 0 931
S S Q	910 0 879
N N V I	965 0 934
T F T	907 0 876
C R D	834 888 942 0 783 993
H W	934 0 901
S A H Q	908 0 875
C P	816 938 1059 0 784 1092
M P	1057 0 1025
Q H H S	908 0 874
M W L U	345 0 314
H I N	875 0 842
U M R	1243 0 1210
R G Q E	962 1124 1247 0 930 1280
G Q I K	1047 0 1015
U G A	966 0 935
E Q	422 668 914 0 391 945
Y D O M	362 627 926 0 331 954
W P H A	964 0 931
Y A D	362 962 0 331 985
R H Y S	998 1160 1244 0 968 1279
D K P	1048 0 1009 1106
G K G	1046 0 1017
R I N M	1243 0 1210
M P A	966 0 935
R S L	1243 0 1210
L N	877 0 846
Y W D W	362 636 943 0 331 969
E M	422 672 922 0 391 953
O G P	1057 0 1025
K A P	1065 0 1045
E T P	422 1061 0 391 1092
D K T	913 0 874 1081
O Q	910 0 879
S O	962 0 931
H A A	964 0 931
F G	957 0 926
A I I	965 0 934
N U F	910 0 879
S G	957 0 926
E D A T	410 0 333 458
R M U	1243 0 1210
P O F	910 0 879
T C	818 922 1025 0 784 1059
A N T T	907 0 876
V U	345 0 314
I H	912 0 879
R C	1024 1159 1243 0 990 1279
Y M I	986 0 933 1039
C K	893 0 862 1082
F H	912 0 879
C W H	832 0 783 943
H S	910 0 877
Q D	362 961 0 331 992
V H K	1045 0 1011
C Y U	345 567 821 0 314 854
N H S P	1055 0 1022
K E F W	949 0 904 1079
K R	1240 0 1207
I O	962 0 931
T V	959 0 928
N G Q S	912 0 881
O N	877 0 846
V Q H R	1241 0 1207
C O	832 890 948 0 786 995
A F A	966 0 935
H D W G	595 795 961 0 563 992
C G	835 888 941 0 786 990
M U V S	912 0 881
I E G	422 692 961 0 391 992
M P E E	431 0 374 469
I D A T	362 637 911 0 331 942
